token,label,stemmed
accelerate,up,acceler
advance,up,advanc
award,up,award
better,up,better
climb,up,climb
double,up,doubl
faster,up,faster
gain,up,gain
grow,up,grow
higher,up,higher
increase,up,increas
jump,up,jump
quicken,up,quicken
rebound,up,rebound
recover,up,recov
rise,up,rise
rose,up,rose
step-up,up,step-up
surge,up,surg
up,up,up
constrain,down,constrain
decelerate,down,deceler
decline,down,declin
decrease,down,decreas
down,down,down
drop,down,drop
fall,down,fall
fell,down,fell
slower,down,slower
weaken,down,weaken
weaker,down,weaker
